NAME,S1901_C01_001E,S1901_C01_013E
ZCTA5 47552,80,642713
ZCTA5 94027,2252,482454
ZCTA5 40025,43,480965
ZCTA5 94021,113,474159
ZCTA5 11005,1609,450531
ZCTA5 11765,279,444808
ZCTA5 20129,183,441910
ZCTA5 07078,4186,413088
ZCTA5 10007,2940,409624
ZCTA5 19035,1443,409434
ZCTA5 49752,280,407584
ZCTA5 06820,6945,404109
ZCTA5 90077,3008,396259
ZCTA5 10282,2499,393072
ZCTA5 48440,58,391162
ZCTA5 02030,2013,379360
ZCTA5 68952,30,374960
ZCTA5 63073,148,373249
ZCTA5 77010,598,373083
ZCTA5 19085,1852,368485
ZCTA5 11568,1067,368270
ZCTA5 20184,326,364651
ZCTA5 06878,2583,362426
ZCTA5 94022,7170,359982
ZCTA5 94028,2556,354021
ZCTA5 60602,977,352835
ZCTA5 53047,13,351938
ZCTA5 80649,203,350615
ZCTA5 69340,26,350019
ZCTA5 94024,7797,347690
ZCTA5 90272,8517,345660
ZCTA5 06853,1472,342549
ZCTA5 06831,5133,341889
ZCTA5 02481,4495,341106
ZCTA5 11030,6277,340827
ZCTA5 21665,71,340590
ZCTA5 60043,730,338988
ZCTA5 60093,7079,337038
ZCTA5 98039,1213,336340
ZCTA5 07935,106,336178
ZCTA5 94105,6522,335851
ZCTA5 06840,6855,335805
ZCTA5 64165,124,334627
ZCTA5 33109,213,329835
ZCTA5 94920,5026,329223
ZCTA5 10514,4190,328379
ZCTA5 10504,2755,327734
ZCTA5 49060,989,327215
ZCTA5 10506,1920,326962
ZCTA5 10577,841,326943
ZCTA5 10004,1822,325028
ZCTA5 21056,172,325001
ZCTA5 02468,1886,324534
ZCTA5 94563,7109,323689
ZCTA5 60022,3141,323284
ZCTA5 28207,4166,323223
ZCTA5 06880,10127,322742
ZCTA5 82922,202,320025
ZCTA5 55356,2260,319667
ZCTA5 10580,5992,318770
ZCTA5 92145,519,318600
ZCTA5 10576,1808,315237
ZCTA5 07760,2960,314832
ZCTA5 90402,4683,314743
ZCTA5 94507,4815,314706
ZCTA5 95030,5239,313351
ZCTA5 94957,410,312914
ZCTA5 82925,179,312074
ZCTA5 60521,6090,311290
ZCTA5 10583,13947,311238
ZCTA5 02493,3730,308880
ZCTA5 21737,713,308594
ZCTA5 22101,10645,308416
ZCTA5 19437,407,308402
ZCTA5 92657,3689,308090
ZCTA5 06870,2712,307142
ZCTA5 07021,693,305285
ZCTA5 21153,150,304522
ZCTA5 33480,6065,300960
ZCTA5 22066,5725,300954
ZCTA5 61037,56,300911
ZCTA5 07046,1385,300627
ZCTA5 85253,8082,300401
ZCTA5 78116,130,299815
ZCTA5 06883,3531,298440
ZCTA5 94528,346,297600
ZCTA5 11976,851,296659
ZCTA5 76092,9388,295966
ZCTA5 94074,67,295655
ZCTA5 10013,12294,294915
ZCTA5 91008,444,293827
ZCTA5 77005,10271,293706
ZCTA5 11724,959,293609
ZCTA5 84144,217,293425
ZCTA5 60029,163,292659
ZCTA5 92067,2867,292147
ZCTA5 10538,5861,291256
ZCTA5 94586,284,290452
ZCTA5 75225,9035,289628
ZCTA5 07458,3867,289329
ZCTA5 63124,5126,288371
ZCTA5 20818,780,286771
ZCTA5 20816,6124,285164
ZCTA5 07928,6304,284554
ZCTA5 20817,13425,283980
ZCTA5 02110,1325,283939
ZCTA5 07931,1047,283465
ZCTA5 90210,7752,283080
ZCTA5 07311,301,282874
ZCTA5 07620,518,282821
ZCTA5 11576,4451,282603
ZCTA5 22480,436,282482
ZCTA5 06890,1679,281565
ZCTA5 15142,441,280807
ZCTA5 19066,1661,279723
ZCTA5 75205,9065,279528
ZCTA5 68461,386,278717
ZCTA5 30327,9904,278577
